Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748923575,100,,Aggregated,39.700000,29.200000,10,24,34,43,76,110,170,200,350,540,630,16496,11503,10,28.354889226725497,1.4262609993238584,628.9181410002129,1601.9952109602327
1748923576,100,,Aggregated,38.800000,28.200000,10,24,34,43,76,110,170,200,350,540,630,16527,11525,10,28.35073515042452,1.4262609993238584,628.9181410002129,1600.5269558903613
1748923577,100,,Aggregated,39.300000,28.800000,10,24,34,43,76,110,170,200,350,540,630,16578,11557,10,28.490700891064563,1.4262609993238584,628.9181410002129,1600.4968633128242
1748923578,100,,Aggregated,38.700000,27.300000,10,24,34,43,76,110,170,200,360,540,630,16612,11577,10,28.568930632137565,1.4262609993238584,628.9181410002129,1599.8057428365037
1748923579,100,,Aggregated,38.500000,27.800000,10,24,34,43,76,110,170,200,360,540,630,16654,11611,10,28.527560835719207,1.4262609993238584,628.9181410002129,1597.483727633001
1748923580,100,,Aggregated,38.400000,27.200000,10,24,34,43,76,110,170,200,360,540,630,16698,11648,10,28.498092110017467,1.4262609993238584,628.9181410002129,1594.7872200263505
1748923581,100,,Aggregated,38.400000,27.200000,10,24,34,43,76,110,170,200,360,540,630,16730,11676,10,28.469082658282716,1.4262609993238584,628.9181410002129,1593.4396294082487
1748923582,100,,Aggregated,38.700000,27.800000,10,24,34,43,76,110,170,210,360,540,630,16774,11705,10,28.611648226485645,1.4262609993238584,628.9181410002129,1593.7620722546799
1748923583,100,,Aggregated,38.800000,28.300000,10,24,34,43,76,110,170,210,360,540,630,16819,11736,10,28.61744476990739,1.4262609993238584,628.9181410002129,1595.7383911052975
1748923584,100,,Aggregated,38.200000,27.900000,10,24,34,43,76,110,170,210,360,540,630,16853,11764,10,28.62466182389326,1.4262609993238584,628.9181410002129,1595.006171008129
1748923585,100,,Aggregated,39.200000,28.400000,10,24,34,43,76,110,170,210,360,540,630,16884,11787,10,28.614810015462922,1.4262609993238584,628.9181410002129,1596.1965766406065
1748923586,100,,Aggregated,40.500000,29.300000,10,24,34,44,77,120,170,210,360,540,630,16931,11812,10,28.875652036446432,1.4262609993238584,628.9181410002129,1597.3691453546749
1748923587,100,,Aggregated,39.100000,28.400000,10,24,34,44,77,120,170,210,370,540,630,16980,11844,10,29.094232609132778,1.4262609993238584,628.9181410002129,1597.592285041225
1748923588,100,,Aggregated,39.300000,28.700000,10,24,34,44,77,120,170,210,370,540,630,17019,11876,10,29.06414476015469,1.4262609993238584,628.9181410002129,1595.660849638639
